Performance_ID,Run_Scored,Balls_Faced,No_of_boundaries,MOM,Wickets_taken,Player_ID,Match_Num
11015,30,20,4,No,0,1139,57
11016,5,3,1,No,1,1126,57
11017,3,3,0,No,1,1135,57
11018,2,5,0,No,0,1055,57
11019,6,9,0,No,0,1051,57
11020,4,3,1,No,0,1050,57
11021,29,14,6,No,0,1059,57
11022,41,26,6,No,0,1052,57
11023,2,3,0,No,0,1053,57
11024,14,13,1,No,0,1058,57
11025,79,32,13,No,1,1057,57
11026,1,3,0,No,2,1067,57
11027,7,12,1,No,1,1061,57
11028,0,0,0,No,1,1060,57
11029,0,0,0,No,1,1137,57
11030,36,27,7,No,0,1235,58
11031,7,5,1,No,0,1216,58
11032,20,13,4,No,0,1215,58
11033,28,20,3,No,0,1220,58
11034,47,29,6,No,0,1226,58
11035,0,1,0,No,0,1222,58
11036,37,25,5,No,0,1212,58
11037,2,1,0,No,0,1219,58
11038,2,14,0,No,0,1108,58
11039,29,19,4,No,0,1099,58
11041,40,45,5,No,0,1097,58
11042,44,25,7,No,0,1110,58
11043,0,13,0,No,1,1218,58
11044,0,0,0,No,0,1098,58
11045,103,65,16,Yes,0,1150,59
11046,7,5,1,No,0,1145,59
11047,4,5,1,No,0,1153,59
11048,5,5,1,No,0,1151,59
11049,20,24,1,No,0,1159,59
11050,2,5,0,No,0,1149,59
11051,2,4,0,No,0,1148,59
11052,11,7,1,No,0,1160,59
11053,0,0,0,No,1,1154,59
11054,54,27,11,No,0,1030,59
11055,21,17,3,No,0,1045,59
11056,3,4,0,No,0,1031,59
11057,5,5,1,No,0,1049,59
11058,1,2,0,No,1,1027,59
11059,0,3,0,No,0,1048,59
11060,16,18,2,No,0,1044,59
11061,16,20,2,No,0,1042,59
11062,10,17,0,No,0,1035,59
11063,6,7,0,No,0,1047,59
11064,0,0,0,No,1,1144,59
